26-04-2017,11:13,GRUPA LOTOS SA,PLLOTOS00025,WSE,2,PLN,"61.89",PLN,"123.78"
26-04-2017,11:13,GRUPA LOTOS SA,PLLOTOS00025,WSE,3,PLN,"61.84",PLN,"185.52"
25-04-2017,11:37,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,4,PLN,"89.24",PLN,"356.96"
24-04-2017,16:29,PKN ORLEN SA,PLPKN0000018,WSE,5,PLN,"117.80",PLN,"589.00"
24-04-2017,16:28,GRUPA LOTOS SA,PLLOTOS00025,WSE,-10,PLN,"53.95",PLN,"539.50"
24-04-2017,15:59,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,64,PLN,"85.99",PLN,"5503.36"
24-04-2017,15:59,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,10,PLN,"85.75",PLN,"857.50"
24-04-2017,15:58,PCC ROKITA SA,PLPCCRK00076,WSE,-16,PLN,"85.10",PLN,"1361.60"
24-04-2017,15:57,GRUPA LOTOS SA,PLLOTOS00025,WSE,-55,PLN,"53.87",PLN,"2962.85"
24-04-2017,12:02,GRUPA LOTOS SA,PLLOTOS00025,WSE,35,PLN,"53.89",PLN,"1886.15"
24-04-2017,12:02,GRUPA LOTOS SA,PLLOTOS00025,WSE,20,PLN,"53.87",PLN,"1077.40"
24-04-2017,11:09,LSI SOFTWARE SA,PLLSSFT00016,WSE,46,PLN,"12.69",PLN,"583.74"
24-04-2017,11:09,LSI SOFTWARE SA,PLLSSFT00016,WSE,5,PLN,"12.60",PLN,"63.00"
24-04-2017,11:09,CD PROJEKT RED SA,PLOPTTC00011,WSE,13,PLN,"67.00",PLN,"871.00"
24-04-2017,11:08,PKN ORLEN SA,PLPKN0000018,WSE,13,PLN,"116.55",PLN,"1515.15"
24-04-2017,11:08,GRUPA LOTOS SA,PLLOTOS00025,WSE,25,PLN,"53.24",PLN,"1331.00"
24-04-2017,11:07,ERG SA,PLERGZB00014,WSE,20,PLN,"68.50",PLN,"1370.00"
24-04-2017,10:56,HELIO SA,PLHELIO00014,WSE,40,PLN,"16.44",PLN,"657.60"
24-04-2017,10:54,MIRBUD SA,PLMRBUD00015,WSE,-160,PLN,"1.21",PLN,"193.60"
24-04-2017,10:53,LARQ SA,PLCAMMD00032,WSE,48,PLN,"14.30",PLN,"686.40"
24-04-2017,10:53,LARQ SA,PLCAMMD00032,WSE,1,PLN,"14.25",PLN,"14.25"
24-04-2017,10:43,PCC ROKITA SA,PLPCCRK00076,WSE,16,PLN,"85.18",PLN,"1362.88"
24-04-2017,10:39,ASSECO SOUTH EASTERN EUROPE,PLASSEE00014,WSE,-36,PLN,"12.02",PLN,"432.72"
24-04-2017,10:39,ASSECO SOUTH EASTERN EUROPE,PLASSEE00014,WSE,-24,PLN,"12.02",PLN,"288.48"
24-04-2017,10:38,ASSECO SOUTH EASTERN EUROPE,PLASSEE00014,WSE,33,PLN,"12.10",PLN,"399.30"
24-04-2017,10:36,YOLO,PLPRESC00018,WSE,103,PLN,"8.33",PLN,"857.99"
20-04-2017,09:45,MIRBUD SA,PLMRBUD00015,WSE,8,PLN,"1.81",PLN,"14.48"
18-04-2017,13:44,MIRBUD SA,PLMRBUD00015,WSE,160,PLN,"1.83",PLN,"292.80"
18-04-2017,09:00,MOSTOSTAL WARSZAWA SA,PLMSTWS00019,WSE,-22,PLN,"13.51",PLN,"297.22"
13-04-2017,16:48,WIELTON SA,PLWELTN00012,WSE,4,PLN,"16.57",PLN,"66.28"
13-04-2017,16:43,PEPEES,PLPEPES00018,WSE,123,PLN,"1.36",PLN,"167.28"
13-04-2017,16:42,YOLO,PLPRESC00018,WSE,102,PLN,"7.20",PLN,"734.40"
13-04-2017,16:41,ASSECO SOUTH EASTERN EUROPE,PLASSEE00014,WSE,27,PLN,"12.20",PLN,"329.40"
13-04-2017,16:39,LSI SOFTWARE SA,PLLSSFT00016,WSE,24,PLN,"12.59",PLN,"302.16"
13-04-2017,16:39,WIELTON SA,PLWELTN00012,WSE,18,PLN,"16.57",PLN,"298.26"
